datetm,open,high,low,close,volume,amount
2020-06-11T09:15:00+0530,1566,1566,1558.8,1561.95,161747,0
2020-06-11T09:16:00+0530,1560.9,1567.6,1560.75,1566.95,99052,0
2020-06-11T09:17:00+0530,1566.9,1566.95,1563.3,1564.85,69809,0
2020-06-11T09:18:00+0530,1564.4,1565.8,1563.25,1565.1,62572,0
2020-06-11T09:19:00+0530,1564.8,1565.9,1563.25,1565,57438,0
2020-06-11T09:20:00+0530,1564.2,1564.2,1560.65,1561,54515,0
2020-06-11T09:21:00+0530,1560.75,1562,1560.2,1561.7,60638,0
2020-06-11T09:22:00+0530,1560.75,1561.05,1558,1558.05,64839,0
2020-06-11T09:23:00+0530,1558.05,1559.85,1556.65,1559.15,61845,0
2020-06-11T09:24:00+0530,1559.35,1561,1558.05,1559.45,31798,0
2020-06-11T09:25:00+0530,1559.2,1560,1557.5,1559,34658,0
2020-06-11T09:26:00+0530,1558.55,1559.95,1558.55,1559.65,30235,0
2020-06-11T09:27:00+0530,1559,1559.5,1557,1557.75,38693,0
2020-06-11T09:28:00+0530,1557.1,1558.8,1556.05,1558.8,34451,0
2020-06-11T09:29:00+0530,1558.05,1558.85,1557,1558.5,19552,0
2020-06-11T09:30:00+0530,1558.5,1560.5,1557.25,1560,41216,0
2020-06-11T09:31:00+0530,1560.9,1561.65,1560.2,1561.4,36018,0
2020-06-11T09:32:00+0530,1561.2,1562.5,1558.3,1559.05,54454,0
2020-06-11T09:33:00+0530,1559.25,1559.25,1557,1558,47575,0
2020-06-11T09:34:00+0530,1558,1559.8,1557.55,1559.8,33954,0
2020-06-11T09:35:00+0530,1559.9,1561.25,1559.55,1560.85,44748,0
2020-06-11T09:36:00+0530,1560.65,1561.55,1559.8,1559.8,22886,0
2020-06-11T09:37:00+0530,1559.95,1560,1557.75,1559.95,30631,0
2020-06-11T09:38:00+0530,1559.4,1560,1557.55,1557.95,12535,0
2020-06-11T09:39:00+0530,1557.5,1558.2,1557,1557.35,37875,0
2020-06-11T09:40:00+0530,1557.5,1558.85,1557.5,1558.55,16717,0
2020-06-11T09:41:00+0530,1558.55,1558.55,1557.25,1557.3,16546,0
2020-06-11T09:42:00+0530,1557.45,1559,1557.05,1559,24685,0
2020-06-11T09:43:00+0530,1558.95,1559,1557.15,1557.65,21213,0
2020-06-11T09:44:00+0530,1557.55,1558.95,1557.55,1558.2,12181,0
2020-06-11T09:45:00+0530,1558.2,1558.9,1557.55,1557.55,11903,0
2020-06-11T09:46:00+0530,1558,1558,1556.6,1557.25,41451,0
2020-06-11T09:47:00+0530,1556.7,1557,1555,1556.1,67829,0
2020-06-11T09:48:00+0530,1555.25,1556.7,1553.25,1554.45,68515,0
2020-06-11T09:49:00+0530,1554.35,1554.95,1553,1553.15,63753,0
2020-06-11T09:50:00+0530,1553,1553.7,1552,1552.95,50426,0
2020-06-11T09:51:00+0530,1552.45,1552.85,1551,1552.85,66853,0
2020-06-11T09:52:00+0530,1552.95,1554.85,1552.25,1554.05,29545,0
2020-06-11T09:53:00+0530,1554.05,1554.45,1554,1554.05,24630,0
2020-06-11T09:54:00+0530,1553.5,1554,1552,1552.45,16955,0
2020-06-11T09:55:00+0530,1552.7,1554,1552.4,1553.55,23224,0
2020-06-11T09:56:00+0530,1553.75,1554,1552.8,1553,19357,0
2020-06-11T09:57:00+0530,1553.3,1553.55,1552,1553,22820,0
2020-06-11T09:58:00+0530,1553,1554.75,1552.75,1554.5,16974,0
