Datetime,1min,2min,5min,1min%,2min%,5min%,Trend
2020-06-26 09:15:00+05:30,,,,,,,0
2020-06-26 09:16:00+05:30,,,,,,,0
2020-06-26 09:17:00+05:30,,,,,,,0
2020-06-26 09:18:00+05:30,,,,,,,0
2020-06-26 09:19:00+05:30,,,,,,,0
2020-06-26 09:20:00+05:30,,,,,,,0
2020-06-26 09:21:00+05:30,,,,,,,0
2020-06-26 09:22:00+05:30,,,,,,,0
2020-06-26 09:23:00+05:30,,,,,,,0
2020-06-26 09:24:00+05:30,,,,,,,0
2020-06-26 09:25:00+05:30,,,,,,,0
2020-06-26 09:26:00+05:30,,,,,,,0
2020-06-26 09:27:00+05:30,,,,,,,0
2020-06-26 09:28:00+05:30,,,,,,,0
2020-06-26 09:29:00+05:30,,,,,,,0
2020-06-26 09:30:00+05:30,,,,,,,0
2020-06-26 09:31:00+05:30,,,,,,,0
2020-06-26 09:32:00+05:30,,,,,,,0
2020-06-26 09:33:00+05:30,,,,,,,0
2020-06-26 09:34:00+05:30,,,,,,,0
2020-06-26 09:35:00+05:30,,,,,,,0
2020-06-26 09:36:00+05:30,,,,,,,0
2020-06-26 09:37:00+05:30,,,,,,,0
2020-06-26 09:38:00+05:30,,,,,,,0
2020-06-26 09:39:00+05:30,,,,,,,0
2020-06-26 09:40:00+05:30,,,,,,,0
2020-06-26 09:41:00+05:30,,,,,,,0
2020-06-26 09:42:00+05:30,,,,,,,0
2020-06-26 09:43:00+05:30,,,,,,,0
2020-06-26 09:44:00+05:30,,,,,,,0
2020-06-26 09:45:00+05:30,,,,,,,0
2020-06-26 09:46:00+05:30,,,,,,,0
2020-06-26 09:47:00+05:30,,,,,,,0
2020-06-26 09:48:00+05:30,0.732674746,,,,,,0
2020-06-26 09:49:00+05:30,0.793673176,,,8.325444594,,,1.9
2020-06-26 09:50:00+05:30,0.950709731,,,19.78604794,,,2.3
2020-06-26 09:51:00+05:30,0.825690294,,,-13.15011639,,,-1.3
2020-06-26 09:52:00+05:30,1.259267688,,,52.51089868,,,2.5
2020-06-26 09:53:00+05:30,1.647221334,,,30.80787742,,,1.3
2020-06-26 09:54:00+05:30,2.081404755,,,26.35853558,,,0.7
2020-06-26 09:55:00+05:30,2.574495447,,,23.69028371,,,0.3
2020-06-26 09:56:00+05:30,2.306979684,,,-10.39099771,,,0
2020-06-26 09:57:00+05:30,1.731040235,,,-24.96508542,,,0
2020-06-26 09:58:00+05:30,1.530483245,,,-11.58592312,,,0
2020-06-26 09:59:00+05:30,1.093601476,,,-28.54534806,,,0
2020-06-26 10:00:00+05:30,0.88000259,,,-19.53169325,,,0
2020-06-26 10:01:00+05:30,0.837880775,,,-4.786555785,,,0
2020-06-26 10:02:00+05:30,0.826954665,,,-1.304017298,,,0
2020-06-26 10:03:00+05:30,0.802360554,,,-2.974057963,,,0
2020-06-26 10:04:00+05:30,0.854813973,,,6.537387546,,,0
2020-06-26 10:05:00+05:30,1.049778681,,,22.80785227,,,0
2020-06-26 10:06:00+05:30,1.433134586,,,36.5177834,,,0
2020-06-26 10:07:00+05:30,1.572974271,,,9.75761012,,,0
2020-06-26 10:08:00+05:30,1.290805415,,,-17.93855506,,,0
2020-06-26 10:09:00+05:30,1.234612011,,,-4.35335979,,,0
2020-06-26 10:10:00+05:30,0.886227349,,,-28.21814941,,,0
2020-06-26 10:11:00+05:30,0.536871802,,,-39.42053333,,,0
2020-06-26 10:12:00+05:30,0.245479359,,,-54.27598208,,,0
2020-06-26 10:13:00+05:30,-0.192701914,,,-178.5002517,,,-1.2
2020-06-26 10:14:00+05:30,-0.508025198,,,163.632668,,,-0.8
2020-06-26 10:15:00+05:30,-1.0732712,,,111.2633789,,,-0.1
2020-06-26 10:16:00+05:30,-1.418471202,,,32.1633528,,,0
2020-06-26 10:17:00+05:30,-1.725675259,,,21.6574053,,,0
2020-06-26 10:18:00+05:30,-2.614439992,,,51.50243236,,,0
2020-06-26 10:19:00+05:30,-2.315451237,,,-11.43605346,,,0
2020-06-26 10:20:00+05:30,-2.274762381,-1.936290975,,-1.757275441,,,0
2020-06-26 10:21:00+05:30,-2.699244018,,,18.66048253,0,,0
2020-06-26 10:22:00+05:30,-2.056283065,-1.689501508,,-23.82003808,-12.74547422,,0
2020-06-26 10:23:00+05:30,-1.325310959,,,-35.5482238,0,,0
2020-06-26 10:24:00+05:30,-0.823362171,-1.328089422,,-37.87403892,-21.39164033,,0
2020-06-26 10:25:00+05:30,-0.33304386,,,-59.55074547,0,,0
2020-06-26 10:26:00+05:30,-0.375928191,-1.31759054,,12.87648133,-0.790525207,,0
2020-06-26 10:27:00+05:30,-0.280848894,,,-25.29187737,0,,0
2020-06-26 10:28:00+05:30,0.014421908,-0.97415722,,-105.1351129,-26.06525397,,0
2020-06-26 10:29:00+05:30,0.260113253,,,1703.598076,0,,2.9
2020-06-26 10:30:00+05:30,0.78353596,-0.125123531,,201.2287732,-87.15571488,,0
2020-06-26 10:31:00+05:30,1.470956083,,,87.73306635,0,,0
2020-06-26 10:32:00+05:30,1.829299673,0.628041098,,24.36127042,-601.9368413,,0
2020-06-26 10:33:00+05:30,2.019056939,,,10.37321928,0,,0
2020-06-26 10:34:00+05:30,2.047116854,0.994619245,,1.389753532,58.36849656,,0
2020-06-26 10:35:00+05:30,1.731565905,,,-15.41440822,0,,0
2020-06-26 10:36:00+05:30,1.331304115,0.964987251,,-23.11559663,-2.979229895,,0
2020-06-26 10:37:00+05:30,1.026721495,,,-22.87851565,0,,0
2020-06-26 10:38:00+05:30,0.811689759,0.849107417,,-20.94353115,-12.00843165,,0
2020-06-26 10:39:00+05:30,0.429274623,,,-47.11346076,0,,0
2020-06-26 10:40:00+05:30,0.423693307,0.992824101,,-1.300173746,16.92561877,,0
2020-06-26 10:41:00+05:30,0.567477182,,,33.93583815,0,,0
2020-06-26 10:42:00+05:30,0.732231817,1.070878642,,29.03282117,7.861870127,,0
2020-06-26 10:43:00+05:30,0.449910374,,,-38.55629271,0,,0
2020-06-26 10:44:00+05:30,0.315959442,0.930532677,,-29.77280371,-13.10568349,,0
2020-06-26 10:45:00+05:30,0.108998372,,,-65.50241661,0,,0
2020-06-26 10:46:00+05:30,-0.595801288,0.299559441,,-646.6148511,-67.80774621,,-1
2020-06-26 10:47:00+05:30,-0.802138085,,,34.63181454,0,,0
2020-06-26 10:48:00+05:30,-0.922719505,0.106626833,,15.03250153,-64.40545053,,0
2020-06-26 10:49:00+05:30,-0.690756604,,,-25.13904819,0,,0
2020-06-26 10:50:00+05:30,-0.908924078,-0.1289451,,31.58384183,-220.9311911,,0
2020-06-26 10:51:00+05:30,-0.700103693,,,-22.97445852,0,,0
2020-06-26 10:52:00+05:30,-0.418077846,-0.000479916,,-40.28343932,-99.62781375,,0
2020-06-26 10:53:00+05:30,-0.218871407,,,-47.64816905,0,,0
2020-06-26 10:54:00+05:30,0.157797793,0.349423417,,-172.09612,-72909.29715,,0
2020-06-26 10:55:00+05:30,0.43732983,,,177.1457209,0,,0
2020-06-26 10:56:00+05:30,0.886025886,0.694536529,,102.5990057,98.76645237,,0
2020-06-26 10:57:00+05:30,0.754697032,,,-14.82223675,0,,0
2020-06-26 10:58:00+05:30,0.574499838,0.85104691,,-23.87675934,22.53450666,,0
2020-06-26 10:59:00+05:30,0.847251344,,,47.47634172,0,,0
2020-06-26 11:00:00+05:30,1.400436711,1.60831732,,65.29176628,88.98104224,,0
2020-06-26 11:01:00+05:30,1.781304385,,,27.19635026,0,,0
2020-06-26 11:02:00+05:30,2.0109957,2.172273705,,12.89455737,35.06499482,,0
2020-06-26 11:03:00+05:30,2.068681559,,,2.86852224,0,,0
2020-06-26 11:04:00+05:30,1.806602274,2.334852021,,-12.66890421,7.484246398,,0
2020-06-26 11:05:00+05:30,1.676000611,,,-7.229132003,0,,0
2020-06-26 11:06:00+05:30,1.180918455,1.986312111,,-29.53949736,-14.9277088,,0
2020-06-26 11:07:00+05:30,0.576374955,,,-51.19265409,0,,0
2020-06-26 11:08:00+05:30,0.038899846,1.572068709,,-93.25094798,-20.85489985,,0
2020-06-26 11:09:00+05:30,-0.099790455,,,-356.5317519,0,,0
2020-06-26 11:10:00+05:30,-0.143767389,1.500132019,,44.06927851,-4.575925322,,0
2020-06-26 11:11:00+05:30,0.001888527,,,-101.3135992,0,,0
2020-06-26 11:12:00+05:30,0.357680191,1.714893352,,18839.63643,14.31616216,,5
2020-06-26 11:13:00+05:30,0.452381123,,,26.47642654,0,,0
2020-06-26 11:14:00+05:30,0.549747689,2.063871327,,21.52312752,20.34983548,,0
2020-06-26 11:15:00+05:30,1.085960684,,,97.53801692,0,,0
2020-06-26 11:16:00+05:30,1.25400025,2.459616738,,15.47381672,19.17490715,,0
2020-06-26 11:17:00+05:30,1.485933597,,,18.49547861,0,,0
2020-06-26 11:18:00+05:30,1.410517406,2.505730886,,-5.075340641,1.87485096,,0
2020-06-26 11:19:00+05:30,1.127244648,,,-20.08289701,0,,0
