time,1min,2min,5min,1min%,2min%,5min%
2020-06-26T09:15:00+05:30,,,,,,
2020-06-26T09:16:00+05:30,,,,,,
2020-06-26T09:17:00+05:30,,,,,,
2020-06-26T09:18:00+05:30,,,,,,
2020-06-26T09:19:00+05:30,,,,,,
2020-06-26T09:20:00+05:30,,,,,,
2020-06-26T09:21:00+05:30,,,,,,
2020-06-26T09:22:00+05:30,,,,,,
2020-06-26T09:23:00+05:30,,,,,,
2020-06-26T09:24:00+05:30,,,,,,
2020-06-26T09:25:00+05:30,,,,,,
2020-06-26T09:26:00+05:30,,,,,,
2020-06-26T09:27:00+05:30,,,,,,
2020-06-26T09:28:00+05:30,,,,,,
2020-06-26T09:29:00+05:30,,,,,,
2020-06-26T09:30:00+05:30,,,,,,
2020-06-26T09:31:00+05:30,,,,,,
2020-06-26T09:32:00+05:30,,,,,,
2020-06-26T09:33:00+05:30,,,,,,
2020-06-26T09:34:00+05:30,,,,,,
2020-06-26T09:35:00+05:30,,,,,,
2020-06-26T09:36:00+05:30,,,,,,
2020-06-26T09:37:00+05:30,,,,,,
2020-06-26T09:38:00+05:30,,,,,,
2020-06-26T09:39:00+05:30,,,,,,
2020-06-26T09:40:00+05:30,,,,,,
2020-06-26T09:41:00+05:30,,,,,,
2020-06-26T09:42:00+05:30,,,,,,
2020-06-26T09:43:00+05:30,,,,,,
2020-06-26T09:44:00+05:30,,,,,,
2020-06-26T09:45:00+05:30,,,,,,
2020-06-26T09:46:00+05:30,,,,,,
2020-06-26T09:47:00+05:30,,,,,,
2020-06-26T09:48:00+05:30,0.732675,,,,,
2020-06-26T09:49:00+05:30,0.793673,,,8.325445,,
2020-06-26T09:50:00+05:30,0.95071,,,19.78605,,
2020-06-26T09:51:00+05:30,0.82569,,,-13.1501,,
2020-06-26T09:52:00+05:30,1.259268,,,52.5109,,
2020-06-26T09:53:00+05:30,1.647221,,,30.80788,,
2020-06-26T09:54:00+05:30,2.081405,,,26.35854,,
2020-06-26T09:55:00+05:30,2.574495,,,23.69028,,
2020-06-26T09:56:00+05:30,2.30698,,,-10.391,,
2020-06-26T09:57:00+05:30,1.73104,,,-24.9651,,
2020-06-26T09:58:00+05:30,1.530483,,,-11.5859,,
2020-06-26T09:59:00+05:30,1.093601,,,-28.5453,,
2020-06-26T10:00:00+05:30,0.880003,,,-19.5317,,
2020-06-26T10:01:00+05:30,0.837881,,,-4.78656,,
2020-06-26T10:02:00+05:30,0.826955,,,-1.30402,,
2020-06-26T10:03:00+05:30,0.802361,,,-2.97406,,
2020-06-26T10:04:00+05:30,0.854814,,,6.537388,,
2020-06-26T10:05:00+05:30,1.049779,,,22.80785,,
2020-06-26T10:06:00+05:30,1.433135,,,36.51778,,
2020-06-26T10:07:00+05:30,1.572974,,,9.75761,,
2020-06-26T10:08:00+05:30,1.290805,,,-17.9386,,
2020-06-26T10:09:00+05:30,1.234612,,,-4.35336,,
2020-06-26T10:10:00+05:30,0.886227,,,-28.2181,,
2020-06-26T10:11:00+05:30,0.536872,,,-39.4205,,
2020-06-26T10:12:00+05:30,0.245479,,,-54.276,,
2020-06-26T10:13:00+05:30,-0.1927,,,-178.5,,
2020-06-26T10:14:00+05:30,-0.50803,,,163.6327,,
2020-06-26T10:15:00+05:30,-1.07327,,,111.2634,,
2020-06-26T10:16:00+05:30,-1.41847,,,32.16335,,
2020-06-26T10:17:00+05:30,-1.72568,,,21.65741,,
2020-06-26T10:18:00+05:30,-2.61444,,,51.50243,,
2020-06-26T10:19:00+05:30,-2.31545,,,-11.4361,,
2020-06-26T10:20:00+05:30,-2.27476,-1.93629,,-1.75728,,
2020-06-26T10:21:00+05:30,-2.69924,,,18.66048,0,
2020-06-26T10:22:00+05:30,-2.05628,-1.6895,,-23.82,-12.7455,
2020-06-26T10:23:00+05:30,-1.32531,,,-35.5482,0,
2020-06-26T10:24:00+05:30,-0.82336,-1.32809,,-37.874,-21.3916,
2020-06-26T10:25:00+05:30,-0.33304,,,-59.5507,0,
2020-06-26T10:26:00+05:30,-0.37593,-1.31759,,12.87648,-0.79053,
2020-06-26T10:27:00+05:30,-0.28085,,,-25.2919,0,
2020-06-26T10:28:00+05:30,0.014422,-0.97416,,-105.135,-26.0653,
2020-06-26T10:29:00+05:30,0.260113,,,1703.598,0,
2020-06-26T10:30:00+05:30,0.783536,-0.12512,,201.2288,-87.1557,
2020-06-26T10:31:00+05:30,1.470956,,,87.73307,0,
2020-06-26T10:32:00+05:30,1.8293,0.628041,,24.36127,-601.937,
2020-06-26T10:33:00+05:30,2.019057,,,10.37322,0,
2020-06-26T10:34:00+05:30,2.047117,0.994619,,1.389754,58.3685,
2020-06-26T10:35:00+05:30,1.731566,,,-15.4144,0,
2020-06-26T10:36:00+05:30,1.331304,0.964987,,-23.1156,-2.97923,
2020-06-26T10:37:00+05:30,1.026721,,,-22.8785,0,
2020-06-26T10:38:00+05:30,0.81169,0.849107,,-20.9435,-12.0084,
2020-06-26T10:39:00+05:30,0.429275,,,-47.1135,0,
2020-06-26T10:40:00+05:30,0.423693,0.992824,,-1.30017,16.92562,
2020-06-26T10:41:00+05:30,0.567477,,,33.93584,0,
2020-06-26T10:42:00+05:30,0.732232,1.070879,,29.03282,7.86187,
2020-06-26T10:43:00+05:30,0.44991,,,-38.5563,0,
2020-06-26T10:44:00+05:30,0.315959,0.930533,,-29.7728,-13.1057,
2020-06-26T10:45:00+05:30,0.108998,,,-65.5024,0,
2020-06-26T10:46:00+05:30,-0.5958,0.299559,,-646.615,-67.8077,
2020-06-26T10:47:00+05:30,-0.80214,,,34.63181,0,
2020-06-26T10:48:00+05:30,-0.92272,0.106627,,15.0325,-64.4055,
2020-06-26T10:49:00+05:30,-0.69076,,,-25.139,0,
2020-06-26T10:50:00+05:30,-0.90892,-0.12895,,31.58384,-220.931,
2020-06-26T10:51:00+05:30,-0.7001,,,-22.9745,0,
2020-06-26T10:52:00+05:30,-0.41808,-0.00048,,-40.2834,-99.6278,
2020-06-26T10:53:00+05:30,-0.21887,,,-47.6482,0,
2020-06-26T10:54:00+05:30,0.157798,0.349423,,-172.096,-72909.3,
2020-06-26T10:55:00+05:30,0.43733,,,177.1457,0,
2020-06-26T10:56:00+05:30,0.886026,0.694537,,102.599,98.76645,
2020-06-26T10:57:00+05:30,0.754697,,,-14.8222,0,
2020-06-26T10:58:00+05:30,0.5745,0.851047,,-23.8768,22.53451,
2020-06-26T10:59:00+05:30,0.847251,,,47.47634,0,
2020-06-26T11:00:00+05:30,1.400437,1.608317,,65.29177,88.98104,
2020-06-26T11:01:00+05:30,1.781304,,,27.19635,0,
2020-06-26T11:02:00+05:30,2.010996,2.172274,,12.89456,35.06499,
2020-06-26T11:03:00+05:30,2.068682,,,2.868522,0,
2020-06-26T11:04:00+05:30,1.806602,2.334852,,-12.6689,7.484246,
2020-06-26T11:05:00+05:30,1.676001,,,-7.22913,0,
2020-06-26T11:06:00+05:30,1.180918,1.986312,,-29.5395,-14.9277,
2020-06-26T11:07:00+05:30,0.576375,,,-51.1927,0,
2020-06-26T11:08:00+05:30,0.0389,1.572069,,-93.2509,-20.8549,
2020-06-26T11:09:00+05:30,-0.09979,,,-356.532,0,
2020-06-26T11:10:00+05:30,-0.14377,1.500132,,44.06928,-4.57593,
2020-06-26T11:11:00+05:30,0.001889,,,-101.314,0,
2020-06-26T11:12:00+05:30,0.35768,1.714893,,18839.64,14.31616,
2020-06-26T11:13:00+05:30,0.452381,,,26.47643,0,
2020-06-26T11:14:00+05:30,0.549748,2.063871,,21.52313,20.34984,
2020-06-26T11:15:00+05:30,1.085961,,,97.53802,0,
2020-06-26T11:16:00+05:30,1.254,2.459617,,15.47382,19.17491,
2020-06-26T11:17:00+05:30,1.485934,,,18.49548,0,
2020-06-26T11:18:00+05:30,1.410517,2.505731,,-5.07534,1.874851,
2020-06-26T11:19:00+05:30,1.127245,,,-20.0829,0,
2020-06-26T11:20:00+05:30,1.230131,2.898933,,9.127276,15.69213,
2020-06-26T11:21:00+05:30,1.582813,,,28.67021,0,
2020-06-26T11:22:00+05:30,1.205235,2.699103,,-23.8548,-6.89324,
2020-06-26T11:23:00+05:30,0.862434,,,-28.4427,0,
2020-06-26T11:24:00+05:30,0.372362,2.114345,,-56.8243,-21.6649,
2020-06-26T11:25:00+05:30,-0.22666,,,-160.87,0,
2020-06-26T11:26:00+05:30,-0.56529,1.623671,,149.4041,-23.2069,
2020-06-26T11:27:00+05:30,-0.68338,,,20.8915,0,
2020-06-26T11:28:00+05:30,-0.92992,1.209204,,36.07597,-25.5266,
2020-06-26T11:29:00+05:30,-0.83987,,,-9.68396,0,
2020-06-26T11:30:00+05:30,-1.00114,0.79925,,19.20206,-33.9028,
2020-06-26T11:31:00+05:30,-0.98692,,,-1.42013,0,
2020-06-26T11:32:00+05:30,-1.01437,0.408602,,2.78112,-48.8768,
2020-06-26T11:33:00+05:30,-1.11843,,,10.25824,0,
2020-06-26T11:34:00+05:30,-0.77748,0.481968,,-30.4843,17.95518,
2020-06-26T11:35:00+05:30,-0.44814,,,-42.3606,0,
2020-06-26T11:36:00+05:30,-0.04658,0.672106,,-89.6065,39.45043,
2020-06-26T11:37:00+05:30,0.09212,,,-297.781,0,
2020-06-26T11:38:00+05:30,-0.00524,0.520289,,-105.686,-22.5882,
2020-06-26T11:39:00+05:30,-0.09546,,,1722.657,0,
2020-06-26T11:40:00+05:30,-0.31667,0.160914,,231.7195,-69.0721,
2020-06-26T11:41:00+05:30,-0.57256,,,80.80518,0,
2020-06-26T11:42:00+05:30,-0.44617,0.179719,,-22.0739,11.68618,
2020-06-26T11:43:00+05:30,-0.23896,,,-46.4428,0,
2020-06-26T11:44:00+05:30,-0.12222,0.217184,,-48.8508,20.84633,
2020-06-26T11:45:00+05:30,-0.03933,,,-67.8236,0,
2020-06-26T11:46:00+05:30,0.075542,0.324513,,-292.085,49.41819,
2020-06-26T11:47:00+05:30,0.197876,,,161.9411,0,
2020-06-26T11:48:00+05:30,0.426515,0.564991,,115.5463,74.10441,
2020-06-26T11:49:00+05:30,0.536517,,,25.79107,0,
2020-06-26T11:50:00+05:30,0.651326,0.72825,,21.39886,28.8959,
2020-06-26T11:51:00+05:30,0.618054,,,-5.10834,0,
2020-06-26T11:52:00+05:30,0.30085,0.432436,,-51.3229,-40.6199,
2020-06-26T11:53:00+05:30,-0.06031,,,-120.047,0,
2020-06-26T11:54:00+05:30,-0.13958,0.219188,,131.4401,-49.3131,
2020-06-26T11:55:00+05:30,-0.35998,,,157.8961,0,
2020-06-26T11:56:00+05:30,-0.27355,0.258229,,-24.0103,17.81137,
2020-06-26T11:57:00+05:30,-0.09124,,,-66.644,0,
2020-06-26T11:58:00+05:30,0.042881,0.309173,,-146.996,19.72855,
2020-06-26T11:59:00+05:30,0.043955,,,2.504084,0,
2020-06-26T12:00:00+05:30,0.280566,0.593948,2.598373,538.3053,92.10834,
2020-06-26T12:01:00+05:30,0.540085,,,92.49792,0,0
2020-06-26T12:02:00+05:30,0.81827,0.887747,,51.50777,49.46542,0
2020-06-26T12:03:00+05:30,0.80772,,,-1.28939,0,0
2020-06-26T12:04:00+05:30,0.876559,1.128295,,8.522714,27.09656,0
2020-06-26T12:05:00+05:30,0.954453,,2.950078,8.886298,0,13.53557
2020-06-26T12:06:00+05:30,0.709483,1.132024,,-25.6659,0.330501,0
2020-06-26T12:07:00+05:30,0.707335,,,-0.30288,0,0
2020-06-26T12:08:00+05:30,0.70591,1.102607,,-0.20142,-2.5987,0
2020-06-26T12:09:00+05:30,0.409844,,,-41.9411,0,0
2020-06-26T12:10:00+05:30,0.27554,0.986029,3.139469,-32.7696,-10.5729,6.419877
