time,1min,2min,5min,1min%,2min%,5min%,%1min corrected,log(%1min),slope,Indicator
2020-06-26T09:48:00+0530,0.732675,,,,,,,,,
2020-06-26T09:49:00+0530,0.793673,,,8.325445,,,8.325444594,0.920407435,0,0
2020-06-26T09:50:00+0530,0.95071,,,19.78605,,,19.78604794,1.296359057,0,0
2020-06-26T09:51:00+0530,0.82569,,,-13.1501,,,-13.15011639,1.118929597,0,0
2020-06-26T09:52:00+0530,1.259268,,,52.5109,,,52.51089868,1.720249451,0,0
2020-06-26T09:53:00+0530,1.647221,,,30.80788,,,30.80787742,1.488661778,0,0
2020-06-26T09:54:00+0530,2.081405,,,26.35854,,,26.35853558,1.420921278,0,0
2020-06-26T09:55:00+0530,2.574495,,,23.69028,,,23.69028371,1.374570262,0,0
2020-06-26T09:56:00+0530,2.30698,,,-10.391,,,-10.39099771,1.016657249,0,0
2020-06-26T09:57:00+0530,1.73104,,,-24.9651,,,-24.96508542,1.397333056,0,0
2020-06-26T09:58:00+0530,1.530483,,,-11.5859,,,-11.58592312,1.063930642,0,0
2020-06-26T09:59:00+0530,1.093601,,,-28.5453,,,-28.54534806,1.455535343,0,0
2020-06-26T10:00:00+0530,0.880003,,,-19.5317,,,-19.53169325,1.290739895,0,0
2020-06-26T10:01:00+0530,0.837881,,,-4.78656,,,-4.786555785,0.680023125,0,0
2020-06-26T10:02:00+0530,0.826955,,,-1.30402,,,-1.304017298,0.115283353,0,0
2020-06-26T10:03:00+0530,0.802361,,,-2.97406,,,-2.974057963,0.473349428,0,0
2020-06-26T10:04:00+0530,0.854814,,,6.537388,,,6.537387546,0.815404231,0,0
2020-06-26T10:05:00+0530,1.049779,,,22.80785,,,22.80785227,1.358084391,0,0
2020-06-26T10:06:00+0530,1.433135,,,36.51778,,,36.5177834,1.562504408,0,0
2020-06-26T10:07:00+0530,1.572974,,,9.75761,,,9.75761012,0.989343461,0,0
2020-06-26T10:08:00+0530,1.290805,,,-17.9386,,,-17.93855506,1.253787458,0,0
2020-06-26T10:09:00+0530,1.234612,,,-4.35336,,,-4.35335979,0.638824562,0,0
2020-06-26T10:10:00+0530,0.886227,,,-28.2181,,,-28.21814941,1.450528529,0,0
2020-06-26T10:11:00+0530,0.536872,,,-39.4205,,,-39.42053333,1.595722496,0,0
2020-06-26T10:12:00+0530,0.245479,,,-54.276,,,-54.27598208,1.73460769,0,0
2020-06-26T10:13:00+0530,-0.1927,,,-178.5,,,-178.5002517,2.251638833,2.3,-2.3
2020-06-26T10:14:00+0530,-0.50803,,,163.6327,,,-163.632668,2.213870012,2.2,-2.2
2020-06-26T10:15:00+0530,-1.07327,,,111.2634,,,-111.2633789,2.046352245,2,-2
2020-06-26T10:16:00+0530,-1.41847,,,32.16335,,,-32.1633528,1.507361314,0,0
2020-06-26T10:17:00+0530,-1.72568,,,21.65741,,,-21.6574053,1.335606424,0,0
2020-06-26T10:18:00+0530,-2.61444,,,51.50243,,,-51.50243236,1.71182774,0,0
2020-06-26T10:19:00+0530,-2.31545,,,-11.4361,,,11.43605346,1.058276177,0,0
2020-06-26T10:20:00+0530,-2.27476,-1.93629,,-1.75728,,,1.757275441,0.244839839,0,0
2020-06-26T10:21:00+0530,-2.69924,,,18.66048,0,,-18.66048253,1.27092287,0,0
2020-06-26T10:22:00+0530,-2.05628,-1.6895,,-23.82,-12.7455,,23.82003808,1.376942451,0,0
2020-06-26T10:23:00+0530,-1.32531,,,-35.5482,0,,35.5482238,1.550817906,0,0
2020-06-26T10:24:00+0530,-0.82336,-1.32809,,-37.874,-21.3916,,37.87403892,1.578341621,0,0
2020-06-26T10:25:00+0530,-0.33304,,,-59.5507,0,,59.55074547,1.774887202,0,0
2020-06-26T10:26:00+0530,-0.37593,-1.31759,,12.87648,-0.79053,,-12.87648133,1.109797203,0,0
2020-06-26T10:27:00+0530,-0.28085,,,-25.2919,0,,25.29187737,1.402981067,0,0
2020-06-26T10:28:00+0530,0.014422,-0.97416,,-105.135,-26.0653,,105.1351129,2.021747786,2,2
